mv_swos;mv_tm_max;mv_tm_min;stars
15M+;300;180;49
15M;179;128;48
12M;127;120;47
10M;119;100;46
9M;99;90;45
8M;89;76;44
7M;75;71;43
6M;70;61;42
5M;60;55;41
4.5M;54;50;40
3.5M;49;45;39
3M;44;40;38
2.75M;39;35;37
2.25M;34;30;36
2M;29;25;35
1.9M;24;20;34
1.8M;19;16;33
1.6M;15;11;32
1.5M;10;9;31
1.3M;8.9;7.6;30
1.1M;7.5;6.1;29
1M;6;5.1;28
950K;5;4.6;27
850K;4.5;4.1;26
800K;4;3.6;25
750K;3.5;3.1;24
700K;3;2.76;23
650K;2.76;2.26;22
600K;2.25;2;21
550K;1.99;1.75;20
500K;1.74;1.5;19
450K;1.49;1.1;18
350K;1;0.91;17
300K;0.9;0.81;16
250K;0.8;0.71;15
200K;0.7;0.61;14
180K;0.6;0.51;13
160K;0.5;0.41;12
150K;0.4;0.31;11
130K;0.3;0.26;10
110K;0.25;0.21;9
100K;0.2;0.16;8
85K;0.15;0.11;7
75K;0.1;0.076;6
65K;0.075;0.051;5
50K;0.05;0.026;4
40K;0.025;0.021;3
30K;0.02;0.011;2
25K;0.01;0.001;1
-25K;0;0;0
